Experimento,x1,x2,x3,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
1,-1.0,-1.0,-1.0,15,99,470556700004326,260526987409537,0.0404040404040404,0.0101010101010101,0.0101010101010101,0.0909090909090909,0.151515151515152
2,-1.0,-1.0,0.82,15,102,454971362460372,250368692971313,0.0392156862745098,0.00980392156862745,0.00980392156862745,0.0882352941176471,0.147058823529412
3,-1.0,1.0,-1.0,16,109,43970368256275,253733308637824,0.036697247706422,0.00917431192660551,0.00917431192660551,0.0917431192660551,0.146788990825688
4,-1.0,1.0,0.82,13,100,439976237842035,247732145945806,0.03,0.01,0.01,0.08,0.13
5,1.0,-1.0,-1.0,16,110,46911463439374,249252923207968,0.0363636363636364,0.00909090909090909,0.00909090909090909,0.0909090909090909,0.145454545454545
6,1.0,-1.0,0.82,16,111,469279973340895,258336992739511,0.036036036036036,0.00900900900900901,0.00900900900900901,0.0900900900900901,0.144144144144144
7,1.0,1.0,-1.0,14,108,465354422133095,248991374448807,0.037037037037037,0.00925925925925926,0.00925925925925926,0.0740740740740741,0.12962962962963
8,1.0,1.0,0.82,16,108,488316826080164,252372795877364,0.037037037037037,0.00925925925925926,0.00925925925925926,0.0925925925925926,0.148148148148148
9,-1.65,0.0,0.0,8,62,876769349172635,341168785475791,0.032258064516129,0.0161290322580645,0.0161290322580645,0.0645161290322581,0.129032258064516
10,1.0,0.0,0.0,16,108,465280999567453,246640334819975,0.037037037037037,0.00925925925925926,0.00925925925925926,0.0925925925925926,0.148148148148148
11,0.0,-1.7,0.0,16,107,449978617484362,244660373462016,0.0373831775700935,0.00934579439252336,0.00934579439252336,0.0934579439252336,0.149532710280374
12,0.0,1.7,0.0,16,111,433294903799085,251613755187256,0.036036036036036,0.00900900900900901,0.00900900900900901,0.0900900900900901,0.144144144144144
13,0.0,0.0,-1.6,16,111,463211468939557,247963838107545,0.036036036036036,0.00900900900900901,0.00900900900900901,0.0900900900900901,0.144144144144144
14,0.0,0.0,0.0,16,111,417892070248982,239932468864748,0.036036036036036,0.00900900900900901,0.00900900900900901,0.0900900900900901,0.144144144144144
15,0.0,0.0,0.0,16,111,456421708679803,252972873781304,0.036036036036036,0.00900900900900901,0.00900900900900901,0.0900900900900901,0.144144144144144
16,0.0,0.0,0.0,16,111,454641669632739,248662657964708,0.036036036036036,0.00900900900900901,0.00900900900900901,0.0900900900900901,0.144144144144144
17,0.0,0.0,1.58,16,111,359501025093089,223173841397692,0.036036036036036,0.00900900900900901,0.00900900900900901,0.0900900900900901,0.144144144144144
